,user_id,name,last_role,raw_cv_text,extracted_user_skills,education,major,extracted_skills_structured,projects,experience
0,4053a618-a3ad-48a8-bc47-60f2b78f23a9,Rian Setiawan,ui designer magang,curriculum vitae ringkas nama rian setiawan kontak riansetiawanemailcom riwayat pendidikan institut teknologi sepuluh nopember kelulusan 2023 pengalaman profesional ui designer magang pt inovasi data deskripsi kompetensi memiliki dedikasi menyelesaikan tugastugas analitis teknis keahlian utama miliki terapkan meliputi figma user research uiux prototyping kreativitas berkomitmen penuh akselerasi karir transisi kompetensi industri digital ekosistem teknologi,"figma, user research, ui ux, prototyping, kreativitas",not specified,other,"figma, user research, ui ux, prototyping, kreativitas",not specified,not specified
1,6cbc999b-c041-4015-bf6f-dea1ec3249c4,Fikran Setiawan,ketua bem,curriculum vitae ringkas nama fikran setiawan kontak fikransetiawanemailcom riwayat pendidikan universitas airlangga kelulusan 2022 pengalaman profesional ketua bem pt nusantara digital indonesia deskripsi kompetensi memiliki dedikasi menyelesaikan tugastugas analitis teknis keahlian utama miliki terapkan meliputi leadership microsoft office manajemen komunikasi agile berkomitmen penuh akselerasi karir transisi kompetensi industri digital ekosistem teknologi,"leadership, microsoft office, manajemen waktu, komunikasi, agile",not specified,other,"leadership, microsoft office, manajemen waktu, komunikasi, agile",not specified,terapkan meliputi leadership microsoft office manajemen komunikasi
2,e52de38f-bf7b-4567-9217-78bf54964452,Rina Siregar,asisten laboratorium komputer,curriculum vitae ringkas nama rina siregar kontak rinasiregaremailcom riwayat pendidikan universitas telkom kelulusan 2022 pengalaman profesional asisten laboratorium komputer pt pratama cloud deskripsi kompetensi memiliki dedikasi menyelesaikan tugastugas analitis teknis keahlian utama miliki terapkan meliputi postgresql problem solving htmlcss berkomitmen penuh akselerasi karir transisi kompetensi industri digital ekosistem teknologi,"postgresql, problem solving, html css",not specified,other,"postgresql, problem solving, html css",not specified,not specified
3,6cdd63df-d646-4127-ba00-8c5fc8ce7097,Sri Setiawan,content creator,curriculum vitae ringkas nama sri setiawan kontak srisetiawanemailcom riwayat pendidikan universitas airlangga kelulusan 2025 pengalaman profesional content creator pt karya teknologi deskripsi kompetensi memiliki dedikasi menyelesaikan tugastugas analitis teknis keahlian utama miliki terapkan meliputi figma adobe illustrator prototyping berkomitmen penuh akselerasi karir transisi kompetensi industri digital ekosistem teknologi,"figma, adobe illustrator, prototyping",not specified,other,"figma, adobe illustrator, prototyping",not specified,not specified
4,dd0c1320-a40d-41da-8c52-31fda2009b20,Eko Utomo,sales executive,curriculum vitae ringkas nama eko utomo kontak ekoutomoemailcom riwayat pendidikan universitas indonesia ui kelulusan 2025 pengalaman profesional sale executive pt digital creative deskripsi kompetensi memiliki dedikasi menyelesaikan tugastugas analitis teknis keahlian utama miliki terapkan meliputi manajemen komunikasi agile negosiasi microsoft office berkomitmen penuh akselerasi karir transisi kompetensi industri digital ekosistem teknologi,"manajemen waktu, komunikasi, agile, negosiasi, microsoft office",not specified,other,"manajemen waktu, komunikasi, agile, negosiasi, microsoft office",not specified,not specified
5,e705a59a-100c-4d0d-9df6-04f9f5bd5d2a,Rian Susanto,junior programmer,curriculum vitae ringkas nama rian susanto kontak riansusantoemailcom riwayat pendidikan universitas airlangga kelulusan 2023 pengalaman profesional junior programmer pt karya data deskripsi kompetensi memiliki dedikasi menyelesaikan tugastugas analitis teknis keahlian utama miliki terapkan meliputi htmlcss problem solving python komunikasi berkomitmen penuh akselerasi karir transisi kompetensi industri digital ekosistem teknologi,"html css, problem solving, python, komunikasi",not specified,other,"html css, problem solving, python, komunikasi",not specified,pengalaman profesional junior programmer pt karya data
6,3a1f23ce-d332-4482-91f6-04ee33be6cc2,Rina Nasution,content creator,curriculum vitae ringkas nama rina nasution kontak rinanasutionemailcom riwayat pendidikan universitas gadjah mada ugm kelulusan 2022 pengalaman profesional content creator pt nusa creative deskripsi kompetensi memiliki dedikasi menyelesaikan tugastugas analitis teknis keahlian utama miliki terapkan meliputi prototyping uiux user research figma kreativitas berkomitmen penuh akselerasi karir transisi kompetensi industri digital ekosistem teknologi,"prototyping, ui ux, user research, figma, kreativitas",not specified,other,"prototyping, ui ux, user research, figma, kreativitas",not specified,not specified
7,6c093120-eada-4264-8b08-05509c95988e,Orell Susanto,fresh graduate matematika,curriculum vitae ringkas nama orell susanto kontak orellsusantoemailcom riwayat pendidikan universitas padjadjaran kelulusan 2025 pengalaman profesional fresh graduate matematika pt lancar data tbk deskripsi kompetensi memiliki dedikasi menyelesaikan tugastugas analitis teknis keahlian utama miliki terapkan meliputi sql problem solving python berkomitmen penuh akselerasi karir transisi kompetensi industri digital ekosistem teknologi,"sql, problem solving, python",not specified,other,"sql, problem solving, python",not specified,not specified
8,fe370533-2d9c-4d7b-9ae8-7a7abf44330c,Putri Gunawan,business development intern,curriculum vitae ringkas nama putri gunawan kontak putrigunawanemailcom riwayat pendidikan binus university kelulusan 2026 pengalaman profesional business development intern pt berjaya data deskripsi kompetensi memiliki dedikasi menyelesaikan tugastugas analitis teknis keahlian utama miliki terapkan meliputi microsoft office komunikasi agile manajemen berkomitmen penuh akselerasi karir transisi kompetensi industri digital ekosistem teknologi,"microsoft office, komunikasi, agile, manajemen waktu",kontak putrigunawanemailcom riwayat pendidikan binus university kelulusan 2026 pengalaman profesional business,business,"microsoft office, komunikasi, agile, manajemen waktu",not specified,business development intern pt berjaya data deskripsi
9,27cc1247-6a2e-4c1a-9a9b-fa545a08cfdc,Eko Sari,junior programmer,curriculum vitae ringkas nama eko sari kontak ekosariemailcom riwayat pendidikan universitas padjadjaran kelulusan 2026 pengalaman profesional junior programmer pt nusa teknologi deskripsi kompetensi memiliki dedikasi menyelesaikan tugastugas analitis teknis keahlian utama miliki terapkan meliputi problem solving komunikasi git berkomitmen penuh akselerasi karir transisi kompetensi industri digital ekosistem teknologi,"problem solving, komunikasi, git",not specified,other,"problem solving, komunikasi, git",not specified,pengalaman profesional junior programmer pt nusa teknologi
10,14879226-fbde-4ee1-9e2c-af55a6dda37a,Ahmad Santoso,staf administrasi data,curriculum vitae ringkas nama ahmad santoso kontak ahmadsantosoemailcom riwayat pendidikan binus university kelulusan 2023 pengalaman profesional staf administrasi data pt global creative deskripsi kompetensi memiliki dedikasi menyelesaikan tugastugas analitis teknis keahlian utama miliki terapkan meliputi data visualization sql problem solving berkomitmen penuh akselerasi karir transisi kompetensi industri digital ekosistem teknologi,"data visualization, sql, problem solving",kontak ahmadsantosoemailcom riwayat pendidikan binus university kelulusan 2023 pengalaman profesional staf,other,"data visualization, sql, problem solving",not specified,not specified
11,7fe3db61-811a-46be-86f4-a69c35014615,Eko Siregar,fresh graduate matematika,curriculum vitae ringkas nama eko siregar kontak ekosiregaremailcom riwayat pendidikan universitas airlangga kelulusan 2026 pengalaman profesional fresh graduate matematika pt pratama sistem tbk deskripsi kompetensi memiliki dedikasi menyelesaikan tugastugas analitis teknis keahlian utama miliki terapkan meliputi excel problem solving tableau sql python berkomitmen penuh akselerasi karir transisi kompetensi industri digital ekosistem teknologi,"excel, problem solving, tableau, sql, python",not specified,other,"excel, problem solving, tableau, sql, python",not specified,not specified
12,ceced509-4620-42a3-af12-4343d5d5bf47,Naufal Gunawan,it support,curriculum vitae ringkas nama naufal gunawan kontak naufalgunawanemailcom riwayat pendidikan universitas gadjah mada ugm kelulusan 2024 pengalaman profesional support pt artha system deskripsi kompetensi memiliki dedikasi menyelesaikan tugastugas analitis teknis keahlian utama miliki terapkan meliputi htmlcss git python javascript berkomitmen penuh akselerasi karir transisi kompetensi industri digital ekosistem teknologi,"html css, git, python, javascript",not specified,other,"html css, git, python, javascript",pt artha system deskripsi kompetensi memiliki dedikasi menyelesaikan tugastugas analitis,not specified
